1,2999,7,1
2,3199,5,1
3,1399,6,2
4,1599,8,2
5,1200,10,3
6,1350,7,3
7,1799,5,4
8,1899,6,4
9,450,9,5
10,490,8,5
11,300,7,6
12,330,6,6
13,899,8,7
14,950,5,7
15,550,10,8
16,600,9,8
17,1200,7,9
18,1300,5,9
19,750,8,10
20,800,6,10
21,500,9,11
22,550,7,11
23,999,6,12
24,1050,8,12
25,1499,7,13
26,1599,5,13
27,799,10,14
28,850,6,14
29,399,8,15
30,450,7,15
31,1200,5,16
32,1300,6,16
33,950,8,17
34,980,6,17
35,1300,7,18
36,1400,5,18
37,799,9,19
38,850,7,19
39,1200,6,20
40,1250,8,20
41,300,7,21
42,350,5,21
43,499,6,22
44,520,7,22
45,999,8,23
46,1050,9,23
47,450,7,24
48,490,5,24
49,1300,6,25
50,1400,8,25
51,550,9,26
52,600,6,26
53,799,7,27
54,850,8,27
55,950,5,28
56,1000,7,28
57,500,8,29
58,550,6,29
59,1400,9,30
60,1500,7,30
61,650,6,31
62,700,8,31
63,300,5,32
64,350,7,32
65,850,8,33
66,900,6,33
67,1200,5,34
68,1300,8,34
69,450,7,35
70,500,6,35
71,1500,8,36
72,1600,5,36
73,700,9,37
74,750,7,37
75,300,6,38
76,350,8,38
77,1100,7,39
78,1200,5,39
79,650,8,40
80,700,6,40
81,450,5,41
82,500,7,41
83,950,8,42
84,1000,6,42
